run_id,hidden_dim,lr,dropout_p,use_silver,train_loss_1,val_loss_1,train_loss_2,val_loss_2,train_loss_3,val_loss_3,train_loss_4,val_loss_4,train_loss_5,val_loss_5
1,64,0.001,0.3,False,2.065,2.0721,1.3971,1.9636,0.7827,2.1162,0.4696,2.4174,0.3612,2.5464
2,64,0.001,0.5,False,2.1013,2.0744,1.6903,1.9991,1.1932,1.946,0.8872,2.0787,0.6475,2.3025
3,64,0.0005,0.3,False,2.0718,2.0567,1.4452,1.9284,0.8351,2.0114,0.5084,2.2494,0.3683,2.3972
4,64,0.0005,0.5,False,2.141,2.0891,1.7487,2.0085,1.3118,1.9623,0.9482,2.0216,0.6724,2.1883
5,64,0.0001,0.3,False,2.1196,2.1018,1.7198,2.0077,1.2124,1.949,0.8336,1.988,0.5782,2.0023
6,64,0.0001,0.5,False,2.1888,2.1005,1.9004,2.0325,1.5335,1.9718,1.1926,1.945,0.9176,1.9683
7,128,0.001,0.3,False,2.0853,2.0677,1.3241,2.0737,0.6433,2.2948,0.403,2.5739,0.3052,2.7194
8,128,0.001,0.5,False,2.1319,2.0609,1.5874,2.004,1.0042,2.1948,0.6518,2.4045,0.5138,2.5072
9,128,0.0005,0.3,False,2.0736,2.0593,1.2483,2.0061,0.5965,2.2099,0.3688,2.4935,0.2846,2.6121
10,128,0.0005,0.5,False,2.1228,2.067,1.5349,1.9911,0.9626,2.0961,0.6128,2.2957,0.4497,2.4345
11,128,0.0001,0.3,False,2.1099,2.0816,1.574,1.9568,0.9844,1.9445,0.5903,2.0011,0.381,2.0766
12,128,0.0001,0.5,False,2.1804,2.0814,1.7871,1.981,1.3342,1.9105,0.93,1.9519,0.658,1.9681
